26 NEP1 192.168.1.26 2195 00:20:4A:F2:2B:A7 1 0.0016717 1 1 1 1 0.999248 1.00264 0.99952 0.998593 1 0.324522 ON ON ON ON OFF OFF OFF ON
31 NEP3 192.168.1.31 2195 00:20:4A:F2:2F:48 1 0.00195838 0.999594 0.997638 0.998809 0.998083 0.999674 1.00008 1.00104 0.999205 1 0.324135 ON ON ON ON OFF OFF OFF ON
56 NEP4 192.168.1.56 2195 00:80:A3:A8:44:D8 3 0.00116527 1.00006 0.998921 0.997768 0.997718 1.0018 1.0001 0.999641 0.99846 1 0.296373 ON ON ON ON OFF OFF OFF ON
87 NEP5 192.168.1.87 2195 00:80:A3:A9:82:6D 1 0.00140856 0.991562 0.997156 0.992617 0.991813 0.994513 0.999944 1.00022 1.00532 1 0.295044 ON ON ON ON OFF OFF OFF ON
74 NRP17 192.168.1.74 2195 00:80:A3:A9:7E:96 0 0.00158451 1 1 1 1 1.00189 1.01449 0.980168 1.00345 1 0.296076 ON ON ON ON OFF ON OFF ON
69 NRP16 192.168.1.69 2195 00:80:A3:A8:44:D0 4 0.00139707 1 1 1 1 1.00112 0.999589 1.00105 0.998237 1 0.297241 ON ON ON ON OFF OFF OFF ON
62 NRP15 192.168.1.62 2195 00:80:A3:A8:44:D7 0 0.00141312 1 1 1 1 1.00278 0.998571 0.99856 1.00008 1 0.299805 ON ON ON ON OFF ON OFF ON
67 NRP14 192.168.1.67 2195 00:80:A3:A8:44:DD 4 0.00138994 1 1 1 1 1.00091 1.00022 1.00088 0.997984 1 0.295632 ON ON ON ON OFF ON OFF ON
77 NRP13 192.168.1.77 2195 00:80:A3:A9:82:7E 0 0.00153316 1 1 1 1 1.00045 1.00029 1.00099 0.998271 1 0.298212 ON ON ON ON OFF ON OFF ON
65 NRP12 192.168.1.65 2195 00:80:A3:A8:44:E0 4 0.00139883 1 1 1 1 1.00022 0.999906 0.999602 1.00027 1 0.296005 ON ON ON ON OFF OFF OFF ON
73 NRP11 192.168.1.73 2195 00:80:A3:A9:82:76 0 0.00151965 1 1 1 1 1.00018 1.00284 0.998526 0.998451 1 0.303186 ON ON ON ON OFF ON OFF ON
40 NRP10 192.168.1.40 2195 00:20:4A:F2:2B:89 2 0.00212725 0.998113 0.997753 0.998529 0.99914 0.993986 1.00469 0.998322 1.003 1 0.31635 ON ON ON ON OFF OFF OFF ON
23 NIP3 192.168.1.23 2195 00:20:4A:F2:2B:84 1 0.00214671 1.00018 0.997219 0.99765 0.998456 1.0024 1.00009 0.997435 1.00008 1 0.324689 ON ON ON ON OFF OFF OFF ON
37 NIP1 192.168.1.37 2195 00:20:4A:F2:2B:AB 1 0.00133883 1.00238 0.99678 0.995409 0.997028 1.00592 0.998466 0.998065 0.997553 1 0.320881 ON ON ON ON OFF OFF OFF ON
52 NRP9 192.168.1.52 2195 00:80:A3:A8:43:95 2 0.00201751 1 1 1 1 1.00148 1.00385 0.998167 0.996497 1 0.323139 ON ON ON ON OFF OFF OFF ON
72 NRP8 192.168.1.72 2195 00:80:A3:A9:82:7F 0 0.00152429 1 1 1 1 1.0011 0.999909 0.999673 0.999314 1 0.294725 ON ON ON ON OFF ON OFF ON
63 NRP7 192.168.1.63 2195 00:80:A3:A8:44:D4 4 0.0013998 1 1 1 1 1.00161 0.998773 1.00012 0.999495 1 0.297873 ON ON ON ON OFF ON OFF ON
71 NRP6 192.168.1.71 2195 00:80:A3:A9:7E:97 0 0.00150526 1 1 1 1 1.01164 0.994686 0.979995 1.01368 1 0.300577 ON ON ON ON OFF ON OFF ON
76 NRP5 192.168.1.76 2195 00:80:A3:A9:82:78 0 0.00156952 1 1 1 1 0.996379 0.994997 1.01476 0.993865 1 0.296301 ON ON ON ON OFF ON OFF ON
61 NRP4 192.168.1.61 2195 00:80:A3:A8:44:DE 4 0.00140556 1 1 1 1 0.999453 1.00012 1.00083 0.999595 1 0.299002 ON ON ON ON OFF ON OFF ON
70 NRP3 192.168.1.70 2195 00:80:A3:A8:44:D5 4 0.00139006 1 1 1 1 1.0017 0.999688 0.999598 0.99901 1 0.295701 ON ON ON ON OFF ON OFF ON
59 NRP2 192.168.1.59 2195 00:80:A3:A8:44:E1 4 0.00142016 1 1 1 1 0.999435 0.999199 1.00163 0.999736 1 0.297534 ON ON ON ON OFF ON OFF ON
55 NRP1 192.168.1.55 2195 00:80:A3:A8:44:D1 4 0.00140759 1 1 1 1 1.00035 1.00048 0.998495 1.00067 1 0.29812 ON ON ON ON OFF ON OFF ON
50 NTP4 192.168.1.50 2195 00:80:A3:A8:44:CF 1 0.00252915 1 1 1 1 1.00137 1.0007 0.998588 0.999344 1 0.323879 ON ON ON ON OFF OFF OFF ON
27 NTP2 192.168.1.27 2195 00:20:4A:F2:2C:BC 1 0.00248789 1 1 1 1 1.00069 0.999161 1.00128 0.998866 1 0.323887 ON ON ON ON OFF OFF OFF ON
25 NTP0 192.168.1.25 2195 00:20:4A:F2:2B:DE 1 0.00240303 0.997623 1.00177 0.998363 0.994542 1.003 1.00418 1.00046 0.992359 1 0.324894 ON ON ON ON OFF OFF OFF ON
