
59	NRP2	192.168.1.59	2195	00:80:A3:A8:44:E1	4	0.00131168	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.297876	01.01.16
60	SRP4	192.168.1.60	2195	00:80:A3:A8:44:DB	4	0.00129796	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.298569	01.01.16
61	NRP4	192.168.1.61	2195	00:80:A3:A8:44:DE	4	0.00132791	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.297817	01.01.16
62	SRP7	192.168.1.62	2195	00:80:A3:A8:44:D7	4	0.00135873	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.297348	01.01.16
63	NRP7	192.168.1.63	2195	00:80:A3:A8:44:D4	4	0.00130811	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.294523	01.01.16
64	SRP12	192.168.1.64	2195	00:80:A3:A8:44:D2	4	0.00131631	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.298705	01.01.16
65	NRP12	192.168.1.65	2195	00:80:A3:A8:44:E0	4	0.00130805	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.296755	01.01.16
66	SRP3	192.168.1.66	2195	00:80:A3:A8:44:DF	4	0.00140388	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.301148	01.01.16
67	NRP14	192.168.1.67	2195	00:80:A3:A8:44:DD	4	0.00138994	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.297544	01.01.16
68	SRP16	192.168.1.68	2195	00:80:A3:A8:44:D6	4	0.00132207	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.297490	01.01.16
69	NRP16	192.168.1.69	2195	00:80:A3:A8:44:D0	4	0.00130083	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.296028	01.01.16
70	NRP3	192.168.1.70	2195	00:80:A3:A8:44:D5	4	0.00139006	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.297318	01.01.16

